Rankings,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
3,Dwyane Wade,27,MIA,SG,79,79,38.6,10.8,22,0.491,1.1,3.5,0.317,9.7,18.5,0.524,0.516,7.5,9.8,0.765,1.1,3.9,5,7.5,2.2,1.3,3.4,2.3,30.2,MVP-3DPOY-3ASNBA1,wadedw01
5,LeBron James,24,CLE,SF,81,81,37.7,9.7,19.9,0.489,1.6,4.7,0.344,8.1,15.2,0.535,0.53,7.3,9.4,0.78,1.3,6.3,7.6,7.2,1.7,1.1,3,1.7,28.4,MVP-1DPOY-2ASNBA1,jamesle01
4,Kobe Bryant,30,LAL,SG,82,82,36.1,9.8,20.9,0.467,1.4,4.1,0.351,8.3,16.8,0.496,0.502,5.9,6.9,0.856,1.1,4.1,5.2,4.9,1.5,0.5,2.6,2.3,26.8,MVP-2DPOY-7ASNBA1,bryanko01
0,Dirk Nowitzki,30,DAL,PF,81,81,37.7,9.6,20,0.479,0.8,2.1,0.359,8.8,17.9,0.493,0.498,6,6.7,0.89,1.1,7.3,8.4,2.4,0.8,0.8,1.9,2.2,25.9,MVP-10ASNBA1,nowitdi01
0,Danny Granger,25,IND,SF,67,66,36.2,8.5,19.1,0.447,2.7,6.7,0.404,5.8,12.3,0.47,0.518,6,6.9,0.878,0.7,4.4,5.1,2.7,1,1.4,2.5,3.1,25.8,MIP-1AS,grangda01
0,Kevin Durant,20,OKC,SF,74,74,39,8.9,18.8,0.476,1.3,3.1,0.422,7.6,15.7,0.486,0.51,6.1,7.1,0.863,1,5.5,6.5,2.8,1.3,0.7,3,1.8,25.3,,duranke01
0,Kevin Martin,25,SAC,SG,51,46,38.2,6.7,15.9,0.42,2.3,5.4,0.415,4.4,10.5,0.423,0.491,9,10.3,0.867,0.6,3,3.6,2.7,1.2,0.2,2.9,2.3,24.6,,martike02
0,Al Jefferson,24,MIN,C,50,50,36.7,9.7,19.5,0.497,0,0.1,0,9.7,19.4,0.499,0.497,3.7,5,0.738,3.4,7.5,11,1.6,0.8,1.7,1.8,2.8,23.1,,jeffeal01
0,Carmelo Anthony,24,DEN,SF,66,66,34.5,8.1,18.3,0.443,1,2.6,0.371,7.2,15.7,0.455,0.469,5.6,7.1,0.793,1.6,5.2,6.8,3.4,1.1,0.4,3,3,22.8,NBA3,anthoca01
1,Chris Paul,23,NOH,PG,78,78,38.5,8.1,16.1,0.503,0.8,2.3,0.364,7.3,13.8,0.525,0.528,5.8,6.7,0.868,0.9,4.7,5.5,11,2.8,0.1,3,2.7,22.8,MVP-5DPOY-6ASNBA2,paulch01
0,Chris Bosh,24,TOR,C,77,77,38,8,16.4,0.487,0.2,0.6,0.245,7.8,15.8,0.497,0.492,6.5,8,0.817,2.8,7.2,10,2.5,0.9,1,2.3,2.5,22.7,AS,boshch01
0,Brandon Roy,24,POR,SG,78,78,37.2,8.1,16.9,0.48,1.1,2.8,0.377,7.1,14.1,0.501,0.512,5.3,6.5,0.824,1.3,3.4,4.7,5.1,1.1,0.3,1.9,1.6,22.6,MVP-9ASNBA2,roybr01
0,Antawn Jamison,32,WAS,PF,81,81,38.2,8.3,17.8,0.468,1.4,3.9,0.351,6.9,13.9,0.501,0.507,4.2,5.6,0.754,2.4,6.5,8.9,1.9,1.2,0.3,1.5,2.7,22.2,,jamisan01
0,Tony Parker,26,SAS,PG,72,71,34.1,8.9,17.5,0.506,0.3,0.9,0.292,8.6,16.6,0.518,0.513,3.9,5,0.782,0.4,2.7,3.1,6.9,0.9,0.1,2.6,1.5,22,MVP-8ASNBA3,parketo01
0,Joe Johnson,27,ATL,SG,79,79,39.5,7.8,18,0.437,1.9,5.2,0.36,6,12.7,0.468,0.489,3.8,4.6,0.826,0.8,3.6,4.4,5.8,1.1,0.2,2.5,2.2,21.4,AS,johnsjo02
0,Amar'e Stoudemire,26,PHO,PF,53,53,36.8,7.6,14.1,0.539,0.1,0.1,0.429,7.6,14,0.54,0.541,6.1,7.3,0.835,2.2,5.9,8.1,2,0.9,1.1,2.8,3.1,21.4,AS,stoudam01
0,Devin Harris,25,NJN,PG,69,69,36.1,6.6,15.1,0.438,0.9,3.2,0.291,5.7,11.9,0.477,0.469,7.2,8.8,0.82,0.4,2.9,3.3,6.9,1.7,0.2,3.1,2.4,21.3,AS,harride01
0,Michael Redd,29,MIL,SG,33,32,36.5,7.5,16.6,0.455,2.1,5.8,0.366,5.4,10.8,0.503,0.519,4,4.9,0.814,0.7,2.5,3.2,2.7,1.1,0.1,1.6,1.4,21.2,,reddmi01
0,David West,28,NOH,PF,76,76,39.2,8,17,0.472,0.1,0.3,0.24,7.9,16.7,0.477,0.474,4.8,5.5,0.884,2.1,6.4,8.5,2.3,0.6,0.9,2.1,2.7,21,AS,westda01
